Keyword	Currency	Avg. monthly searches	Min search volume	Max search volume	Competition	Competition (indexed value)	Top of page bid (low range)	Top of page bid (high range)	Ad impression share	Organic impression share	Organic average position	In account?	In plan?	Searches: Jul 2019	Searches: Aug 2019	Searches: Sep 2019	Searches: Oct 2019	Searches: Nov 2019	Searches: Dec 2019	Searches: Jan 2020	Searches: Feb 2020	Searches: Mar 2020	Searches: Apr 2020	Searches: May 2020	Searches: Jun 2020	Concept: Other Brands	Concept: Non-Brands	Concept: Others	Google_Adult	SERP_Adult	All_Adult
black naked teen boys	USD		10	100	Low	0.0																					Non-Brands	gay boy, teen boy, naked black boys	True	True	True
big booty gay black boys	USD		10	100	Low	3.0																					Non-Brands	gay boy, big booty black boys	True	True	True
gay black teen dicks	USD		100	1,000	Low	0.0																					Non-Brands	gay boy, teen boy	False	True	True
black on boys myvidster	USD		10	100	Low	0.0																				myvidster			False	False	False
gay black boys kissing	USD		10	100	Low	0.0																					Non-Brands	gay boy	False	True	True
young gay black teen	USD		100	1,000	Low	1.0																					Non-Brands	gay boy, teen boy	False	True	True
young black gay boys tube	USD		10	100	Low	0.0																					Non-Brands	gay boy, teen boy	False	True	True
young black gay teen boys	USD		10	100	Low	3.0																					Non-Brands	gay boy, teen boy	False	True	True
teen black boy naked	USD		10	100	Low	0.0																					Non-Brands	teen boy, naked black boys	True	True	True
black teen boy tumblr	USD		10	100	Low	0.0																				tumblr		teen boy	True	False	True
nude boy black	USD		10	100	Low	0.0																					Non-Brands	naked black boys	True	True	True
cute black boys naked	USD		100	1,000	Low	0.0																					Non-Brands	naked black boys, cute black boys	True	True	True
young black boys gay tube	USD		10	100	Unknown																						Non-Brands	gay boy, teen boy	False	True	True
black thug boys	USD		100	1,000	Low	1.0																					Non-Brands	gay boy	False	True	True
young black teen boys	USD		100	1,000	Low	0.0																					Non-Brands	teen boy	False	True	True
sexy black boys naked	USD		10	100	Low	0.0																					Non-Brands	naked black boys, sexy boys	True	True	True
black teen boys tube	USD		10	100	Low	1.0																					Non-Brands	gay boy, teen boy	False	True	True
dl black boys tumblr	USD		10	100	Low	0.0																				tumblr			False	False	False
black boys nude tube	USD		10	100	Unknown																						Non-Brands	naked black boys	True	True	True
black gay on boys	USD		10	100	Low	2.0																					Non-Brands	gay boy	False	True	True
xnxx gay black boys	USD		10	100	Low	0.0																					Non-Brands	gay boy	True	True	True
young black boy dicks	USD		100	1,000	Low	1.0																					Non-Brands	teen boy, big dicks	False	True	True
hung black boys tumblr	USD		10	100	Low	0.0																				tumblr			False	False	False
ebony teen boy	USD		10	100	Low	0.0																					Non-Brands	teen boy	True	True	True
nude gay black boys	USD		100	1,000	Low	1.0																					Non-Brands	gay boy, teen boy, naked black boys	True	True	True
skinny black gay boys	USD		10	100	Low	0.0																					Non-Brands	gay boy, teen boy	False	True	True
black boy addictionz apollo	USD		0	10	Unknown																					blackboyaddictionz		gay boy	False	False	False
teen black boys nude	USD		10	100	Low	0.0																					Non-Brands	gay boy, teen boy, naked black boys	True	True	True
black teen boys with big dicks	USD		100	1,000	Low	0.0																					Non-Brands	teen boy, big dicks	False	True	True
black and white gay boys	USD		10	100	Low	0.0																					Non-Brands	gay boy, white	False	True	True
skinny gay black boys	USD		10	100	Low	0.0																					Non-Brands	gay boy	False	True	True
black boys gay tumblr	USD		10	100	Low	0.0																				tumblr		gay boy	False	False	False
blackboyaddictionz pornhub	USD		0	10	Unknown																					pornhub, blackboyaddictionz		gay boy	True	True	True
gay african teen	USD		10	100	Low	0.0																					Non-Brands	gay boy, teen boy	False	True	True
gay black boys pornhub	USD		10	100	Low	0.0																				pornhub		gay boy	True	True	True
young hung black boys	USD		10	100	Low	3.0																					Non-Brands	teen boy	False	True	True
white daddy black boy	USD		10	100	Low	0.0																					Non-Brands	gay boy, white	False	True	True
hot black teen gay	USD		10	100	Low	0.0																					Non-Brands	gay boy, teen boy	False	True	True
gay black african boys	USD		10	100	Low	4.0																					Non-Brands	gay boy	False	True	True
gay black boys with big dicks	USD		100	1,000	Low	1.0																					Non-Brands	gay boy, big dicks	False	True	True
naked black african boys	USD		10	100	Low	0.0																					Non-Brands	gay boy, naked black boys	True	False	True
teen boy black gay	USD		10	100	Unknown																						Non-Brands	gay boy, teen boy	True	True	True
boy black nude	USD		10	100	Low	0.0																					Non-Brands	naked black boys	True	True	True
broke straight boys black	USD		10	100	Low	0.0																				broke straight boys		gay boy, straight boys	False	True	True
teen black boy gay	USD		10	100	Low	0.0																					Non-Brands	gay boy, teen boy	False	True	True
gay teen black tube	USD		10	100	Low	0.0																					Non-Brands	gay boy, teen boy	False	True	True
big black boy booty	USD		10	100	Low	0.0																					Non-Brands	big booty black boys	True	True	True
nude black gay boys	USD		10	100	Low	1.0																					Non-Brands	gay boy, teen boy, naked black boys	True	True	True
18 year old black boys	USD		100	1,000	Low	0.0																					Non-Brands		False	False	False
young gay black dicks	USD		100	1,000	Low	1.0																					Non-Brands	gay boy, teen boy, big dicks	False	True	True
young african gay boys	USD		10	100	Low	8.0																					Non-Brands	gay boy, teen boy	False	True	True
hot black gay teen	USD		100	1,000	Low	0.0																					Non-Brands	gay boy, teen boy	False	True	True
big black gay boys	USD		10	100	Low	1.0																					Non-Brands	gay boy	False	True	True
