Keyword	Currency	Avg. monthly searches	Min search volume	Max search volume	Competition	Competition (indexed value)	Top of page bid (low range)	Top of page bid (high range)	Ad impression share	Organic impression share	Organic average position	In account?	In plan?	Searches: Jul 2019	Searches: Aug 2019	Searches: Sep 2019	Searches: Oct 2019	Searches: Nov 2019	Searches: Dec 2019	Searches: Jan 2020	Searches: Feb 2020	Searches: Mar 2020	Searches: Apr 2020	Searches: May 2020	Searches: Jun 2020	Concept: Other Brands	Concept: Non-Brands	Concept: Others	Google_Adult	SERP_Adult	All_Adult
latino nude boys	USD		10	100	Low	0.0																					Non-Brands	boys nudes	True	True	True
gay latino boys tumblr	USD		10	100	Low	0.0																				tumblr			False	False	False
straight latino boys	USD		10	100	Low	0.0																					Non-Brands		False	True	True
latino gay boy tube	USD		10	100	Low	0.0																					Non-Brands	teen boy, gay boys tube	False	True	True
sexy latin boys	USD		10	100	Low	0.0																					Non-Brands		True	True	True
hung latin boys	USD		10	100	Low	0.0																					Non-Brands		False	True	True
naked latino teen boys	USD		10	100	Low	0.0																					Non-Brands	teen boy	True	True	True
latin nude boys	USD		10	100	Low	2.0																					Non-Brands	boys nudes	True	True	True
latino boy gay tube	USD		10	100	Unknown																						Non-Brands	gay boys tube	False	True	True
bi latino boys	USD		10	100	Low	0.0																					Non-Brands		False	True	True
gay boys tube latino	USD		10	100	Low	0.0																					Non-Brands	gay boys tube	False	True	True
young latin boys	USD		10	100	Low	0.0																					Non-Brands	teen boy	False	True	True
hot gay latin boys	USD		10	100	Low	0.0																					Non-Brands		False	True	True
hot boy latino	USD		10	100	Low	0.0																					Non-Brands		False	True	True
gay young latin	USD		100	1,000	Low	3.0	0.48	0.57																			Non-Brands	teen boy	False	True	True
horny latino boys	USD		10	100	Low	0.0																					Non-Brands		True	True	True
latino teen gay tube	USD		10	100	Low	0.0																					Non-Brands	teen boy, gay boys tube	False	True	True
latin leche boys	USD		10	100	Low	0.0																					Non-Brands		False	True	True
hot gay latino teens	USD		10	100	Low	0.0																					Non-Brands	teen boy	False	True	True
gay latin teen boys	USD		10	100	Low	0.0																					Non-Brands	teen boy	False	True	True
naked hispanic boys	USD		100	1,000	Low	0.0																					Non-Brands		True	True	True
teen boy latin	USD		10	100	Low	0.0																					Non-Brands	teen boy	True	True	True
latino boys jacking off	USD		10	100	Low	0.0																					Non-Brands		True	True	True
latin boys pornhub	USD		0	10	Unknown																					pornhub			True	True	True
teen latin boys	USD		10	100	Low	0.0																					Non-Brands	teen boy	False	True	True
hot latin boyz	USD		10	100	Low	0.0																					Non-Brands		False	True	True
hot latino teen boys	USD		100	1,000	Low	0.0																					Non-Brands	teen boy	False	True	True
latino boys masturbating	USD		10	100	Low	0.0																					Non-Brands		True	True	True
latinoboysex	USD		0	10	Unknown																						Non-Brands		True	True	True
teen boy gay latino	USD		10	100	Unknown																						Non-Brands	teen boy	True	True	True
latino teen boys naked	USD		10	100	Low	0.0																					Non-Brands	teen boy, boys nudes	True	True	True
gay 18 latino	USD		10	100	Low	0.0																					Non-Brands		False	True	True
latin boy feet	USD		10	100	Low	0.0																					Non-Brands		False	True	True
young latino gay tube	USD		10	100	Low	0.0																					Non-Brands	teen boy, gay boys tube	False	True	True
latin teen gay boys	USD		10	100	Low	0.0																					Non-Brands	teen boy	False	True	True
gay teen boy latino	USD		10	100	Low	0.0																					Non-Brands	teen boy	True	True	True
latin teen gay tube	USD		10	100	Low	0.0																					Non-Brands	teen boy, gay boys tube	False	True	True
hairy latino boys	USD		10	100	Low	0.0																					Non-Brands		False	True	True
latino gay boyz	USD		10	100	Low	0.0																					Non-Brands		False	True	True
straight latin boys	USD		10	100	Low	0.0																					Non-Brands		False	True	True
latino boys kissing	USD		10	100	Low	0.0																					Non-Brands		False	True	True
teen latino gays	USD		10	100	Low	0.0																					Non-Brands	teen boy	False	True	True
young gay latin boys	USD		10	100	Low	0.0																					Non-Brands	teen boy	False	True	True
hairy latin boys	USD		10	100	Low	0.0																					Non-Brands		False	True	True
uncut latino boys	USD		10	100	Low	1.0																					Non-Brands		False	True	True
uncut latin boys	USD		10	100	Low	0.0																					Non-Brands		False	True	True
broke latino boys	USD		10	100	Low	2.0																					Non-Brands		False	True	True
hot naked latino boys	USD		10	100	Low	0.0																					Non-Brands	boys nudes	True	True	True
hot latino boys tumblr	USD		10	100	Low	0.0																				tumblr			False	False	False
latin naked boys	USD		10	100	Low	0.0																					Non-Brands	boys nudes	True	True	True
shirtless latino boys	USD		10	100	Low	0.0																					Non-Brands		True	False	True
latino boys naked tumblr	USD		10	100	Low	0.0																				tumblr		boys nudes	True	False	True
latino young gay boys	USD		10	100	Low	0.0																					Non-Brands	teen boy	False	True	True
young latin gay boys	USD		10	100	Low	0.0																					Non-Brands	teen boy	False	True	True
cute gay latino boys	USD		10	100	Low	0.0																					Non-Brands	teen boy	False	True	True
pretty latino boys	USD		10	100	Low	1.0																					Non-Brands		False	False	False
sexy hispanic boys	USD		10	100	Low	0.0																					Non-Brands		True	False	True
2 latino boys	USD		10	100	Low	0.0																					Non-Brands		False	False	False
hot latino boys naked	USD		10	100	Low	0.0																					Non-Brands	boys nudes	True	True	True
latin boys myvidster	USD		10	100	Low	0.0																					Non-Brands		False	False	False
latin boys with big dicks	USD		10	100	Low	0.0																					Non-Brands		False	True	True
latino cute gay	USD		10	100	Low	0.0																					Non-Brands		False	True	True
hot naked latin boys	USD		10	100	Low	0.0																					Non-Brands	boys nudes	True	True	True
big booty latino boys	USD		10	100	Low	0.0																					Non-Brands		True	True	True
black daddy latino	USD		10	100	Low	0.0																					Non-Brands		False	True	True
young hispanic boy	USD		10	100	Low	0.0																					Non-Brands		False	False	False
cute latino gay boys	USD		10	100	Low	0.0																					Non-Brands	teen boy	False	True	True
sexy gay latino boys	USD		10	100	Low	1.0																					Non-Brands		True	True	True
young latin gay tube	USD		10	100	Unknown																						Non-Brands	teen boy, gay boys tube	False	True	True
nude latino teen boys	USD		10	100	Low	0.0																					Non-Brands	teen boy, boys nudes	True	True	True
hispanic boys tumblr	USD		10	100	Low	0.0																				tumblr			False	False	False
nude boy latin	USD		10	100	Low	0.0																					Non-Brands		True	True	True
cute latino teen boys	USD		10	100	Low	0.0																					Non-Brands	teen boy	False	True	True
gay latin boys tumblr	USD		10	100	Low	0.0																				tumblr			False	False	False
gay teen latino tube	USD		10	100	Low	0.0																					Non-Brands	teen boy, gay boys tube	False	True	True
horny latin boys	USD		10	100	Low	0.0																					Non-Brands		True	True	True
xvideos gay latin boy	USD		10	100	Low	0.0																					Non-Brands		True	True	True
gay teen boys latino	USD		10	100	Low	0.0																					Non-Brands	teen boy	False	True	True
hot latin gay boys	USD		10	100	Low	0.0																					Non-Brands		False	True	True
latino boys hot	USD		10	100	Low	1.0																					Non-Brands		False	True	True
naked gay latino boys	USD		10	100	Low	0.0																					Non-Brands	teen boy, boys nudes	True	True	True
latino gay teen tube	USD		10	100	Unknown																						Non-Brands	teen boy, gay boys tube	False	True	True
teen latin gay tube	USD		10	100	Low	0.0																					Non-Brands	teen boy, gay boys tube	False	True	True
latino boy cam	USD		10	100	Low	0.0																					Non-Brands		False	True	True
latino teen boys nude	USD		10	100	Low	0.0																					Non-Brands	teen boy, boys nudes	True	True	True
fine latino boys	USD		100	1,000	Low	0.0																					Non-Brands		False	False	False
bi latino boyz	USD		10	100	Low	0.0																					Non-Brands		False	True	True
handsome latino boys	USD		10	100	Low	0.0																					Non-Brands		False	False	False
latino sexy boys	USD		10	100	Low	0.0																					Non-Brands		True	True	True
latino straight boys	USD		10	100	Low	0.0																					Non-Brands		False	True	True
nude latino boys tumblr	USD		10	100	Low	0.0																				tumblr		boys nudes	True	True	True
hot latin boys tumblr	USD		10	100	Low	0.0																				tumblr			False	False	False
latin gay teen tube	USD		10	100	Unknown																						Non-Brands	teen boy, gay boys tube	False	True	True
latino sissy boy	USD		10	100	Low	0.0																					Non-Brands		False	True	True
latino boys nude tumblr	USD		10	100	Low	0.0																				tumblr		boys nudes	True	False	True
naked latin teen boys	USD		10	100	Low	0.0																					Non-Brands	teen boy	True	True	True
teen gay boy latino	USD		10	100	Low	0.0																					Non-Brands	teen boy	False	True	True
hot latin teen boys	USD		10	100	Low	0.0																					Non-Brands	teen boy	False	True	True
naked teen latino boys	USD		10	100	Low	0.0																					Non-Brands	teen boy, boys nudes	True	True	True
latinoboysporn	USD		0	10	Unknown																						Non-Brands		True	True	True
skinny latino boys	USD		10	100	Low	0.0																					Non-Brands		False	True	True
latino boy jacking off	USD		10	100	Low	0.0																					Non-Brands		True	True	True
boyz latino	USD		10	100	Low	0.0																					Non-Brands		False	True	True
latino boys with big dicks	USD		100	1,000	Low	0.0																					Non-Brands		False	True	True
nude hispanic boys	USD		10	100	Low	0.0																					Non-Brands	teen boy, boys nudes	True	True	True
young nude latino boys	USD		10	100	Low	0.0																					Non-Brands	teen boy, boys nudes	True	True	True
boy latino tube	USD		10	100	Unknown																						Non-Brands	teen boy, gay boys tube	False	True	True
boy tube latino	USD		10	100	Low	0.0																					Non-Brands	teen boy, gay boys tube	False	True	True
latin teen boys naked	USD		10	100	Low	0.0																					Non-Brands	teen boy, boys nudes	True	True	True
young hot latino boys	USD		10	100	Low	1.0																					Non-Brands	teen boy	False	True	True
gay cute latinos	USD		10	100	Low	0.0																					Non-Brands		False	True	True
latin teen boys nude	USD		10	100	Low	0.0																					Non-Brands	teen boy, boys nudes	True	True	True
latino boy teen	USD		10	100	Low	0.0																					Non-Brands	teen boy	False	True	True
latino muscle boys	USD		10	100	Low	0.0																					Non-Brands		False	True	True
latin boys naked tumblr	USD		10	100	Unknown																					tumblr		boys nudes	True	False	True
smooth latino boys	USD		10	100	Low	0.0																					Non-Brands		False	True	True
hot latin boys naked	USD		10	100	Low	0.0																					Non-Brands	boys nudes	True	True	True
latino muscle boy	USD		10	100	Low	0.0																					Non-Brands		False	True	True
teenage latino boys	USD		10	100	Low	0.0																					Non-Brands		False	False	False
boy latin nude	USD		10	100	Low	0.0																					Non-Brands	boys nudes	True	True	True
cute boy latino	USD		10	100	Low	0.0																					Non-Brands		False	False	False
gay naked latino boys	USD		10	100	Low	0.0																					Non-Brands	boys nudes	True	True	True
nude latin teen boys	USD		10	100	Low	0.0																					Non-Brands	teen boy, boys nudes	True	True	True
nude latin boys tumblr	USD		10	100	Unknown																					tumblr		boys nudes	True	False	True
beautiful latino boys	USD		10	100	Low	1.0																					Non-Brands		False	False	False
latin boy sexy	USD		10	100	Low	0.0																					Non-Brands		True	True	True
muscular latino boys	USD		10	100	Low	0.0																					Non-Brands		False	True	True
latina teen gay	USD		10	100	Low	0.0																					Non-Brands	teen boy	False	True	True
cute naked latino boys	USD		10	100	Low	0.0																					Non-Brands	boys nudes	True	True	True
nude gay latino boys	USD		10	100	Low	0.0																					Non-Brands	boys nudes	True	True	True
gay black latino boys	USD		10	100	Low	0.0																					Non-Brands		False	True	True
black latino gay boys	USD		10	100	Low	0.0																					Non-Brands		False	True	True
sexy latino teen boys	USD		10	100	Low	0.0																					Non-Brands	teen boy	True	True	True
boy latino nude	USD		10	100	Low	0.0																					Non-Brands	boys nudes	True	True	True
